Title,Author,Year
Dandelion wine: a novel.,Ray Bradbury,First published in 1946
Unfinished Tales of Númenor and Middle-earth,J.R.R. Tolkien,First published in 1980
Insomnia,Stephen King,First published in 1994
Cat's Cradle,Kurt Vonnegut,First published in 1963
Guards! Guards!,Terry Pratchett,First published in 1989
Rose Madder,Stephen King,First published in 1995
"The Swiss family Robinson: or, Adventures of a father and mother and four sons in a desert island ; the genuine progress of the story forming a clear illustration of the first principles of natural history, and many branches of science which most immediately apply to the business of life. To which are added, notes of reference, explanatory of the subjects treated of. From seventh London edition.",Johann David Wyss,First published in 1828
Neverending Story,Michael Ende,First published in 1979
Dreamcatcher,Stephen King,First published in 2001
The October Country,Ray Bradbury,First published in 1955
The Story of the Treasure Seekers,Edith Nesbit,First published in 1899
The well at the world's end: Volume I,William Morris,First published in 1896
Mary poppins,P. L. Travers,First published in 1934
Mostly Harmless,Douglas Adams,First published in 1991
Percy Jackson and the battle of the labyrinth,Rick Riordan,First published in 2005
Equal Rites,Terry Pratchett,First published in 1987
Tom's Midnight Garden,Philippa Pearce,First published in 1958
"The tale of Despereaux: being the story of a mouse, a princess, some soup and a spool of thread",Kate DiCamillo,First published in 2003
Wizard's First Rule,Terry Goodkind,First published in 1994
Wicked: the life and times of the Wicked Witch of the West : a novel,Gregory Maguire,First published in 1995
Dragonquest: (#2),Anne McCaffrey,First published in 1971
Flat Stanley,Jeff Brown,First published in 1926
Wintersmith,Terry Pratchett,First published in 2006
Corduroy,Don Freeman,First published in 1968
The princess and Curdie,George MacDonald,First published in 1832
The  lost princess of Oz,L. Frank Baum,First published in 1917
Wolves of the Calla,Stephen King,First published in 2003
Sourcery,Terry Pratchett,First published in 1988
Wyrd Sisters,Terry Pratchett,First published in 1988
"Over Sea, Under Stone (Dark is Rising Sequence)",Susan Cooper,First published in 1965
The Wee Free Men,Terry Pratchett,First published in 1994
The Penelopiad,Margaret Atwood,First published in 2005
The Willows,Algernon Blackwood,First published in 2002
Small Gods,Terry Pratchett,First published in 1992
Redwall: Redwall #1,Brian Jacques,First published in 1986
Eaters of the Dead,Michael Crichton,First published in 1976
Oryx and Crake,Margaret Atwood,First published in 2002
Arctic Incident,Eoin Colfer,First published in 2001
Ocean at the End of the Lane,Neil Gaiman,First published in 2013
"Children of Dune (Dune Chronicles, Book 3)",Frank Herbert,First published in 1976
Jonathan Strange and Mr Norrell,Susanna Clarke,First published in 2001
Under the dome,Stephen King,First published in 1925
Indian fairy tales.,Joseph Jacobs,First published in 1892
A Hat Full of Sky,Terry Pratchett,First published in 2004
Percy Jackson and the Titan's Curse,Rick Riordan,First published in 2007
"That Hideous Strength (Space Trilogy, Book 3)",C.S. Lewis,First published in 1945
The Name of the Wind: The Kingkiller Chronicle: Day One,Patrick Rothfuss,First published in 2007
11/22/63,Stephen King,First published in 1925
Jurgen,James Branch Cabell,First published in 1919
Emerald City of Oz,L. Frank Baum,First published in 1910
The Passage,Justin Cronin,First published in 2010
Interesting Times,Terry Pratchett,First published in 1994
City of the Beasts,Isabel Allende,First published in 2002
Neverwhere,Neil Gaiman,First published in 1996
"The Great Hunt: Wheel of Time, Book 2",Robert Jordan,First published in 1990
The Black Cauldron,Lloyd Alexander,First published in 1965
Song of Susannah,Stephen King,First published in 1999
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,First published in 1977
The  scarecrow of Oz,L. Frank Baum,First published in 1915
The green fairy book,Andrew Lang,First published in 1892
Pyramids: a novel of Discworld,Terry Pratchett,First published in 1989
The Tales of Beedle the Bard,J. K. Rowling,First published in 2008
Dragonfly In Amber,Diana Gabaldon,First published in 1992
The Lost Hero,Rick Riordan,First published in 2010
"Out of the Silent Planet (Space Trilogy, Book One)",C.S. Lewis,First published in 1938
Swimmy,Leo Lionni,First published in 1963
Player Piano,Kurt Vonnegut,First published in 1952
Percy Jackson and the last olympian,Rick Riordan,First published in 2009
Anansi Boys,Neil Gaiman,First published in 2005
The Book of Three,Alexander,First published in 1964
The Trumpet of the Swan,E. B. White,First published in 1970
Men at Arms,Terry Pratchett,First published in 1993
The Return of Tarzan,Edgar Rice Burroughs,First published in 1915
Reaper Man,Terry Pratchett,First published in 1991
At the earth's core,Edgar Rice Burroughs,First published in 1914
A Storm of Swords,George R. R. Martin,First published in 2000
"Brisingr, or, The seven promises of Eragon Shadeslayer and Saphira Bjartskular",Christopher Paolini,First published in 1998
Pebble in the Sky,Isaac Asimov,First published in 1950
How the Grinch stole Christmas,Dr. Seuss,First published in 1957
White oleander,"Fitch, Janet",First published in 1989
Magic of Oz,L. Frank Baum,First published in 1919
The Final Empire: Mistborn Book One,Brandon Sanderson,First published in 2001
Witches Abroad,Terry Pratchett,First published in 1991
A Wind in the Door: Time Quintet #2,Madeleine L'Engle,First published in 1973
Eldest,Christopher Paolini,First published in 2005
Sabriel (adult) (The Abhorsen Trilogy),Garth Nix,First published in 1995
Snow Crash,Neal Stephenson,First published in 1992
Hogfather,Terry Pratchett,First published in 1996
The Amazing Maurice and His Educated Rodents,Terry Pratchett,First published in 2001
My father's dragon,Ruth Stiles Gannett,First published in 1948
The House on the Borderland,William Hope Hodgson,First published in 1946
A Feast for Crows,George R. R. Martin,First published in 2005
Feet of Clay,Terry Pratchett,First published in 1996
Fantastic Beasts and Where to Find Them Poster Book,J. K. Rowling,First published in 2001
Fight Club,Chuck Palahniuk,First published in 1996
The Graveyard Book,Neil Gaiman,First published in 2008
The Red Pyramid,Rick Riordan,First published in 2010
Danny and the Dinosaur,Syd Hoff,First published in 1958
The Sword of Shannara,Terry Brooks,First published in 1976
Haroun and the Sea of Stories,Salman Rushdie,First published in 1990
Cloud atlas,David Mitchell,First published in 2004
Maskerade,Terry Pratchett,First published in 1995
Into the Wild,Erin Hunter,First published in 2003
Dead Until Dark,Charlaine Harris,First published in 2001
The white dragon,Anne McCaffrey,First published in 1978
The Mixed Up Chameleon: Gaṛbaṛ ghuṭā lā girgȧt,Eric Carle,First published in 1975
Bleach vol 3,Tite Kubo,First published in 2004
The World of Pooh,A. A. Milne,First published in 1926
Speaker for the Dead,Orson Scott Card,First published in 1986
The City of Ember (The First Book of Ember),Jeanne DuPrau,First published in 1998
The land of stories: the wishing spell,Chris Colfer,First published in 1990
Before Adam,Jack London,First published in 1906
Alanna: The First Adventure: (Song of the Lioness #1),Tamora Pierce,First published in 1954
The Crystal Cave,Mary Stewart,First published in 1970
Xenocide,Orson Scott Card,First published in 1991
Dragonsong (Harper Hall of Pern #1),Anne McCaffrey,First published in 1976
Soul Music,Terry Pratchett,First published in 1994
The Chrysalids,John Wyndham,First published in 1955
Ella enchanted,Gail Carson Levine,First published in 1997
The Hill of Dreams,Arthur Machen,First published in 1907
Jingo,Terry Pratchett,First published in 1996
Dirk Gently's Holistic Detective Agency,Douglas Adams,First published in 1987
"The Fires of Heaven: The Wheel of Time, Book 5",Robert Jordan,First published in 1993
The princess and the goblin,George MacDonald,First published in 1907
The Three-Body Problem,刘慈欣,First published in 2008
The Last Unicorn,Peter S. Beagle,First published in 1968
Lords and Ladies,Terry Pratchett,First published in 1992
Crossroads of twilight,Robert Jordan,First published in 1995
"The  master key: an electrical fairy tale, founded upon the mysteries of electricity and the optimism of its devotees ...",L. Frank Baum,First published in 1901
The Indian in the cupboard,Lynne Reid Banks,First published in 1980
"Perelandra (Space Trilogy, Bk. 2)",C.S. Lewis,First published in 1943
The Well of Ascension: Book Two of Mistborn,Brandon Sanderson,First published in 2007
The Time Traveler's Wife,Audrey Niffenegger,First published in 2003
Naruto.,Masashi Kishimoto,First published in 2003
Harry Potter and the Cursed Child: Parts One And Two Playscript,Jack Thorne,First published in 2001
