Title,Author,Year
Wild Thing,Meljean Brook,First published in 2007
The Sigh,Marjane Satrapi,First published in 2010
The gracekeepers: a novel,Kirsty Logan,First published in 2015
Red river.,Chie Shinohara,First published in 2004
The skinner,Neal L. Asher,First published in 2002
The Illusion,Katherine Applegate,First published in 1999
OBWL1: The Wizard of Oz: Level 1: 400 Word Vocabulary (Oxford Bookworms Library),Tricia Hedge,First published in 2000
Sailor Moon : friends & foes,Naoko Takeuchi,First published in 1995
Finnikin of the rock,Melina Marchetta,First published in 2008
Prisoner's Throne: A Novel of Elfhame,Holly Black,First published in 2024
Knight of ghosts and shadows: an urban fantasy,Mercedes Lackey,First published in 1990
Hollow City: The Second Novel of Miss Peregrine's Peculiar Children,Ransom Riggs,First published in 2014
The Savior,J. R. Ward,First published in 2019
Sailor Moon stars #3,武内 直子,First published in 2001
The  revenge of the rose,Michael Moorcock,First published in 1991
The Folk Keeper,Franny Billingsley,First published in 1999
The Surprising Adventures of Baron Munchausen,Rudolf Erich Raspe,First published in 2001
Burning Bridge (Ranger's Apprentice Book 2),John Flanagan,First published in 2011
Worldweavers: Gift of the Unmage,Alma Alexander,First published in 2009
Death Doesn't Bargain,Sherrilyn Kenyon,First published in 2018
A Twisted Tale Collection: A Boxed Set,Liz Braswell,First published in 2018
"Return to the Isle of the Lost: The Descendants Series, Book 2",Melissa De La Cruz,First published in 2018
Shadow games,Glen Cook,First published in 1989
North Child,Edith Pattou,First published in 2019
The Seas: A Novel,Samantha Hunt,First published in 2004
Little Prince,Antoine De Saint-Exupéry,First published in 2013
Wizardology: The Book of the Secrets of Merlin (Ologies),Master Merlin,First published in 2005
Of Poseidon,Anna Banks,First published in 2012
The El Dorado Adventure: Vesper Holly #2,Lloyd Alexander,First published in 1987
Animorphs: The Sickness,Katherine Applegate,First published in 1999
Lover Arisen: Black Dagger Brotherhood - 23,J. R. Ward,First published in 2022
Magic Rises Kate Daniels 6,Ilona Andrews,First published in 2013
Soundless,Richelle Mead,First published in 2015
First Bad Man,Miranda July,First published in 2015
Witch's pyre,Josephine Angelini,First published in 2016
Peter Pan,J. M. Barrie,First published in 2003
The Blood King: Book two in the Chronicles of the Necromancer,Gail Z. Martin,First published in 2008
Guardians of the lost,Margaret Weis,First published in 2001
Magic Breaks,Ilona Andrews,First published in 2014
Relentless: A Drizzt Novel,R. A. Salvatore,First published in 2020
Dragon of the Island,Mary Gillgannon,First published in 1994
Amy the Amethyst Fairy,Daisy Meadows,First published in 2005
Everyone on the Moon is Essential Personnel,Julian K Jarboe,First published in 2020
Magic triumphs,Ilona Andrews,First published in 2018
Shadowrise,Tad Williams,First published in 2010
Saboteurs,Clive Cussler,First published in 2010
Cheryl The Christmas Tree Fairy,Daisy Meadows,First published in 2010
Blackbringer,Laini Taylor,First published in 2007
The Darkest Night (Lords of the Underworld #1): Lords of the Underworld,Gena Showalter,First published in 2008
Lammas night,Katherine Kurtz,First published in 1983
Night of the Ninth Dragon,Mary Pope Osborne,First published in 2016
One Piece 24: People's Dreams,Eiichiro Oda,First published in 2001
Dust to dust: The Prophesy: Book One,Heather Graham,First published in 2009
The dragon of Lonely Island,Rebecca Rupp,First published in 1998
Power lines,Anne McCaffrey,First published in 1994
The revolution business,Charles Stross,First published in 2009
The lord of the rings: the fellowship of the ring : visual companion,Jude Fisher,First published in 2001
Down Comes the Night,Allison Saft,First published in 2021
Firewalker,Josephine Angelini,First published in 2001
The Lust Lizard of Melancholy Cove,Christopher Moore,First published in 2004
Eternity,Maggie Shayne,First published in 1998
Dragon Age: The Stolen Throne,David Gaider,First published in 2009
The silent land,Graham Joyce,First published in 2010
Blood: A Southern Fantasy,Michael Moorcock,First published in 1994
Spellwright,Blake Charlton,First published in 2010
Essential Fantastic Four.,Stan Lee,First published in 1998
Dead Astronauts,Jeff VanderMeer,First published in 2019
Ascendant sun,Catherine Asaro,First published in 2000
The new Olympians,Kate O'Hearn,First published in 2014
English Fairy Tales,Flora Annie Webster Steel,First published in 1918
Ice Cream Man: Sundae Edition Book 1,W. Maxwell Prince,First published in 2018
"Snow white, blood red",Ellen Datlow,First published in 1993
Spaceships & spells: a collection of new fantasy and science-fiction stories,Jane Yolen,First published in 1987
The Cabinet of Wonders,Marie Rutkoski,First published in 2008
Mark of the Dragonfly,Jaleigh Johnson,First published in 2014
Steelstriker,Marie Lu,First published in 2021
The Vampire Mystery,Gertrude Chandler Warner,First published in 2009
Dracula is a pain in the neck,Elizabeth Levy,First published in 1983
Evertrue,Brodi Ashton,First published in 2014
Sleeping King: A Novel,Cindy Dees,First published in 2015
Lost Heir,Tui T. Sutherland,First published in 2014
Bloodhoney,Paul Stewart,First published in 2012
The castle in the attic,Elizabeth Winthrop,First published in 1985
Concrete: Short Stories 1990-1995,Paul Chadwick,First published in 1990
Bitten by Cupid,Lynsay Sands,First published in 2010
After the end,Amy Plum,First published in 2014
Flirt,Laurell K. Hamilton,First published in 2010
Flight: volume 2,Kazu Kibuishi,First published in 2005
Squire,Nadia Shammas,First published in 2022
Fire touched,Patricia Briggs,First published in 2016
Six moon dance,Sheri S. Tepper,First published in 1998
Republic of Thieves,Scott Lynch,First published in 2013
Dark Triad: The Complete Trilogy,Viola Tempest,First published in 2023
Warriors: the Broken Code 6-Book Box Set,Erin Hunter,First published in 2022
Alice,Christina Henry,First published in 2016
The Story of the Glittering Plain,William Morris,First published in 2002
The last of the really great whangdoodles,Julie Edwards,First published in 1996
Son of Spellsinger,Alan Dean Foster,First published in 1993
Bristolon Chronicles: Saving Sophera,Kelly Kast,First published in 2023
King in Yellow,Robert Chambers,First published in 2013
Peter Pan,James Matthew Barrie,First published in 2014
The legacy of Merlin,Eloise Flood,First published in 2001
Rhinegold,Stephan Grundy,First published in 1994
Wayward Son,Rainbow Rowell,First published in 2019
Rage of Lions (Wereworld),Curtis Jobling,First published in 2013
The Demon in the Wood,Leigh Bardugo,First published in 2015
Hogwarts Library: The Complete Set,J. K. Rowling,First published in 2012
The day of the dissonance,Alan Dean Foster,First published in 1984
The magician king,Lev Grossman,First published in 2012
By Schism Rent Asunder,David Weber,First published in 2008
Natural Ordermage,"L. E. Modesitt, Jr.",First published in 2007
Midnighters #2: Touching Darkness (rpkg) (Midnighters),Scott Westerfeld,First published in 2005
Dorp dead.,Julia Cunningham,First published in 1965
The City,Jane Gaskell,First published in 1966
Between Death and Heaven,Annemarie Musawale,First published in 2014
The Forest of Hands and Teeth,Carrie Ryan,First published in 2009
Shadows in the Asylum: The Case Files of Dr. Charles Marsh,D. A. Stern,First published in 2005
Secrets of Dripping Fang.,Dan Greenburg,First published in 2005
Square Root of Summer,Harriet Reuter Hapgood,First published in 2016
Under the sunset,Bram Stoker,First published in 1882
The Fledling Handbook 101,P. C. Cast,First published in 2010
Stormcaster,Cinda Williams Chima,First published in 2018
Gift,Andrea J. Buchanan,First published in 2012
Taken,Erin Bowman,First published in 2013
The Riverman,Aaron Starmer,First published in 2014
Nobody,Jennifer Lynn Barnes,First published in 2013
Agents of light and darkness,Simon R. Green,First published in 2003
The Thickety: A path begins,J. A. T. White,First published in 2014
Scholar,"L. E. Modesitt, Jr.",First published in 2011
The jaguar hunter,Lucius Shepard,First published in 1987
The 34th Rule: Star Trek: Deep Space Nine #23,Armin Shimerman,First published in 1999
Wild magic,Cat Weatherill,First published in 2007
The white horse of Zennor,Michael Morpurgo,First published in 1982
Thick As Thieves,Megan Whalen Turner,First published in 2017
Tia the Tulip Fairy,Daisy Meadows,First published in 2006
Under the Dome: Part Two,Stephen King,First published in 2011
Enemies and Allies: A Novel,Kevin J. Anderson,First published in 2009
L. Ron Hubbard Presents Writers of the Future Vol. 16,Algis Budrys,First published in 1985
Boys over flowers.,Yōko Kamio,First published in 2003
The gnome from Nome,Stephen Cosgrove,First published in 1974
Conan The Defender (Conan),Robert Jordan,First published in 1982
Vice avenged: a moral tale.,Lolah Burford,First published in 1971
Longer Fall,Charlaine Harris,First published in 2020
Animorphs: The Answer,Katherine Applegate,First published in 2001
The Warded Man,Peter V. Brett,First published in 2010
The etched city: a novel,K. J. Bishop,First published in 2003
Far off things,Arthur Machen,First published in 1922
Mairi's mermaid,Michael Morpurgo,First published in 2001
Hera: The Goddess and Her Glory,George O'Connor,First published in 2011
Promethea,Alan Moore,First published in 2000
Twilight: The Graphic Novel: Volume 1,Young Kim,First published in 2010
Jailbait zombie,Mario Acevedo,First published in 2009
The magician king,Lev Grossman,First published in 2011
Serpent's Silver (Dragon's Gold),Piers Anthony,First published in 1988
Vipero the snake man,Adam Blade,First published in 2008
Labyrinth,Kate Mosse,First published in 2005
Quatrain,Sharon Shinn,First published in 2009
Odalisque: Book One of The Percheron Saga,Fiona Mcintosh,First published in 2005
Storm Cursed: A Mercy Thompson Novel,Patricia Briggs,First published in 2019
Imaginary Worlds,Lin Carter,First published in 1973
Seraphina,Rachel Hartman,First published in 2012
Mercy Thompson: homecoming,Patricia Briggs,First published in 2009
Red Hart Magic,Andre Norton,First published in 1976
Sorcerer's Legacy,Janny Wurts,First published in 1982
In The Forest Of Forgetting,Theodora Goss,First published in 2006
Echoes of the Great Song,David A. Gemmell,First published in 1997
If Wishes Were Horses,Anne McCaffrey,First published in 1998
Visions of fantasy: tales from the masters,Isaac Asimov,First published in 1989
The winner's kiss: a novel,Marie Rutkoski,First published in 2016
Dancing with an alien,Mary Logue,First published in 2000
Tamara the tooth fairy,Daisy Meadows,First published in 2012
Endymion Spring,Matthew Skelton,First published in 2006
'Ware hawk,Andre Norton,First published in 1983
Farthing,Jo Walton,First published in 2006
The Sookie Stackhouse companion,Charlaine Harris,First published in 2011
Rod Serling's Twilight Zone,Walter B. Gibson,First published in 1965
Jolly tall,Jane Hissey,First published in 1990
One Bite Stand,Nina Bangs,First published in 2008
Petunia's Christmas,Roger Duvoisin,First published in 1952
The girl in the tower: a novel,Katherine Arden,First published in 2018
The warlock unlocked,Christopher Stasheff,First published in 1982
Space Patrol: Choose Your Own Adventure #22,Julius Goodman,First published in 1983
"Johannes Cabal, the detective: a novel",Jonathan L. Howard,First published in 2010
Imager's intrigue,"L. E. Modesitt, Jr.",First published in 2010
The minotaur takes a cigarette break,Steven Sherrill,First published in 2000
Ratha and Thistle-Chaser,Clare Bell,First published in 1990
The Mechanical: The Alchemy Wars: Book One,Ian Tregillis,First published in 2015
Frostfire,Amanda Hocking,First published in 2015
Tyra the Dress Designer Fairy,Daisy Meadows,First published in 2012
In the presence of mine enemies,Harry Turtledove,First published in 2003
Flashing swords!,Lin Carter,First published in 1973
Dark magic,Stephen Gresham,First published in 2002
Psychomania: Killer Stories,Stephen Jones,First published in 2013
Beasts made of night,Tochi Onyebuchi,First published in 2017
Wolf queen,Tanith Lee,First published in 2001
A Weakened Heart (W.I.T.C.H. Chapter Books #21),Alice Alfonsi,First published in 2005
A Farce to be Reckoned With,Roger Zelazny,First published in 1995
Night of the wolf,Alice Borchardt,First published in 1999
Grand Canyon Odyssey: Choose Your Own Adventure #43,Jay Leibold,First published in 1985
Lost Girls: a Vampire Revenge Story,Sonia Hartl,First published in 2021
Cuckoo's Egg (Alliance-Union Universe),C. J. Cherryh,First published in 1985
Vengeance of the Iron Dwarf,R. A. Salvatore,First published in 2015
Tempting danger,Eileen Wilks,First published in 2004
The wayfarer redemption,Sara Douglass,First published in 1995
The Weird of the White Wolf: Book Three of The Elric Saga,Michael Moorcock,First published in 1988
The Surprising Adventures of Baron Munchausen (Dodo Press),Rudolph Erich Raspe,First published in 2006
"The Best Time Travel Stories of the 20th Century: Stories by Arthur C. Clarke, Jack Finney, Joe Haldeman, Ursula K. Le Guin,",Harry Turtledove,First published in 2004
Unicorn vs. Goblins: Another Phoebe and Her Unicorn Adventure,Dana Simpson,First published in 2016
Tom Swift and His Sky Racer,Victor Appleton,First published in 1911
The singing,Alison Croggon,First published in 2008
Throne of jade,Naomi Novik,First published in 2006
The battle for the castle,Elizabeth Winthrop,First published in 1993
Mara The Meerkat Fairy,Daisy Meadows,First published in 2013
Goddess,Josephine Angelini,First published in 2013
Edgar Allan Poe: a critical study,Arthur Michell Ransome,First published in 1910
Through the magic mirror,Anthony Browne,First published in 1976
"The Darkening (Immortals, Book 2)",Robin T. Popp,First published in 2007
The time of the dark,Barbara Hambly,First published in 1982
At Swim-Two-Birds,Flann O'Brien,First published in 2000
Harry Potter: Hogwarts School of Witchcraft and Wizardry,Insight Editions,First published in 2017
Kisah Hikayat Laba-Laba Gua Tsur Yang Mencintai & Melindungi Nabi Muhammad SAW Edisi Bilingual Inggris & Indonesia,Muhammad Vandestra,First published in 2017
The art of arrow cutting,Stephen Dedman,First published in 1997
The Morcai Battalion,Diana Palmer,First published in 2007
Infidel,Ted Dekker,First published in 2007
The savage,David Almond,First published in 2008
Thing in the Basement,Michaela Morgan,First published in 2006
Minion: a vampire huntress legend,L. A. Banks,First published in 2003
Young Avengers,Allan Heinberg,First published in 2006
Batman: war on crime,"Ross, Alex",First published in 1999
Castle,Garth Nix,First published in 2000
Voice of the Fire,Alan Moore,First published in 1997
The True Game,Sheri S. Tepper,First published in 1985
"Grass for His Pillow (Tales of the Otori, Book 2)",Lian Hearn,First published in 2003
Date A Live,Kōshi Tachibana,First published in 2011
The ghost kings.,H. Rider Haggard,First published in 1908
Robert Asprin's Myth Adventures Volume 1 (Robert Asprin's Myth Adventures),Phil Foglio,First published in 2006
The romance of a poor young man,"Feuillet, Octave",First published in 1863
The book of Ptath,A. E. van Vogt,First published in 1947
Who's afraid of Beowulf?,Tom Holt,First published in 1988
Name of All Things,Jenn Lyons,First published in 2019
Fiction and poetry: complete and unabridged,Edgar Allan Poe,First published in 1992
Murder and Magic,Randall Garrett,First published in 1979
The coming of the Horseclans: a Horseclans novel,Robert Adams,First published in 1982
Angels at the table,Debbie Macomber,First published in 2012
The Girl Who Soared Over Fairyland and Cut the Moon in Two: Fairyland #3,Catherynne M. Valente,First published in 2013
Cloudstar's Journey,Erin Hunter,First published in 2013
Minor arcana,Diana Wynne Jones,First published in 1996
Sorcerer's son,Phyllis Eisenstein,First published in 1979
Under heaven,Guy Gavriel Kay,First published in 2010
Adventurers Guild: Night of Dangers,Zack Loran Clark,First published in 2017
Iron angel,Alan Campbell,First published in 2008
The Tide Knot: Ingo #2,Helen Dunmore,First published in 2008
Trayaurus and the enchanted crystal,DanTDM,First published in 2016
Healing Wars : Book I: the Shifter,Janice Hardy,First published in 2009
Dragonholder,Todd McCaffrey,First published in 1999
I took the moon for a walk,Carolyn Curtis,First published in 2004
Thanos: Infinity Abyss (Thanos),Jim Starlin,First published in 2003
The Maracot Deep,Arthur Conan Doyle,First published in 1934
House On Falling Star Hill,Michael Molloy,First published in 2004
Court of Miracles,Kester Grant,First published in 2020
Lumberjanes: the Good Egg,Mariko Tamaki,First published in 2018
Chosen at Nightfall,C. C. Hunter,First published in 2013
Seeker: Book Ten (Sweep),Cate Tiernan,First published in 2002
Maybelle the cable car,Virginia Lee Burton,First published in 1952
The Dream Thief,Shana Abé,First published in 2006
A time of omens: a novel of the Westlands,Katharine Kerr,First published in 1992
All the answers,Kate Messner,First published in 2015
Divide,Elizabeth Kay,First published in 2003
The spirit ring,Lois McMaster Bujold,First published in 1992
Dragon's Gold,Piers Anthony,First published in 1987
Fyre,Angie Sage,First published in 2013
War of the Cards,Colleen Oakes,First published in 2017
The eighth day,Dianne K. Salerni,First published in 2014
Groo: Friends And Foes Volume 3,Sergio Aragones,First published in 2002
The World of Edena,Moebius,First published in 2016
Skippyjon Jones class action,Judith Byron Schachner,First published in 2010
DC: the new frontier,Darwyn Cooke,First published in 2004
"Throne of Jade (Temeraire, Book 2)",Naomi Novik,First published in 2006
The Essential Ellison: A 35-Year Retrospective,Harlan Ellison,First published in 1987
The Nature of Witches,Rachel Griffin,First published in 2021
Dragonlover's Guide to Pern,Jody Lynn,First published in 1989
A Well Favored Gentleman (Avon Historical Romance),Christina Dodd,First published in 1998
Warrior Rising,P. C. Cast,First published in 2008
Pegasus,Kate O'Hearn,First published in 2012
Devonshire Scream,Laura Childs,First published in 2016
Urchin and the Heartstone,Margaret McAllister,First published in 2006
The Burning Horizon,Erin Hunter,First published in 2015
Titus Groan,Mervyn Peake,First published in 1973
The heritage of Shannara,Terry Brooks,First published in 1998
The land across,Gene Wolfe,First published in 2013
The Shadow Crosser,J C Cervantes,First published in 2018
"Under the Earth, over the Sky",Emily McCosh,First published in 2022
Daughter of the Drowned Empire,Frankie Diane Mallis,First published in 2022
Last Sun,K. D. Edwards,First published in 2018
The story of Doctor Dolittle,Kathryn Knight,First published in 2009
Falling Kingdoms: Rebel Spring,Morgan Rhodes,First published in 2012
The little house in the fairy wood,Ethel Cook Eliot,First published in 1918
"Tales of the Cthulhu Mythos, Volume 2",Robert Bloch,First published in 1969
Heart of a warrior,Johanna Lindsey,First published in 2001
When Demons Walk,Patricia Briggs,First published in 1998
"Tanis, the Shadow Years",Barbara Siegel,First published in 1990
The Poetical Works of Edgar Allan Poe,Edgar Allan Poe,First published in 1850
Ratha's Creature,Clare Bell,First published in 1983
Outcasts of Order,"L. E. Modesitt, Jr.",First published in 2018
Firelord,Parke Godwin,First published in 1980
Keeper of the Lost Cities the Graphic Novel Part 1: Volume 1,Shannon Messenger,First published in 2023
Bloodline: Wings in the Night - 16,Maggie Shayne,First published in 2009
My rainbow magic: Friendship secrets,Daisy Meadows,First published in 2010
Doctor's Pregnant Bride?,Susan Crosby,First published in 2010
Angel's pain,Maggie Shayne,First published in 2008
"Knee-Deep in the Dead (Doom, Book 1)",Dafydd Ab Hugh,First published in 1995
A time of exile: a novel of the Westlands,Katharine Kerr,First published in 1991
Dark Flame,Alyson Noël,First published in 2010
Dreams made flesh,Anne Bishop,First published in 2005
"The Books of Ember (trilogy): The City of Ember, The People of Sparks, The Prophet of Yonwood",Jeanne DuPrau,First published in 2008
Magician's Gambit (Belgariad),David Eddings,First published in 1986
The Infernal City,J. Gregory Keyes,First published in 2009
Escape velocity,Christopher Stasheff,First published in 1983
Cassie the Concert Fairy,Daisy Meadows,First published in 2012
Warsworn,Elizabeth Vaughan,First published in 2006
The strange affair of Spring Heeled Jack,Mark Hodder,First published in 2010
"One Piece, Volume 15: Straight Ahead!",Eiichiro Oda,First published in 2000
One piece: Yan lei,Eiichiro Oda,First published in 1999
Chosen: Contender Book 1,Taran Matharu,First published in 2019
The ancient magus' bride,Kore Yamazaki,First published in 2015
League of dragons,Naomi Novik,First published in 2016
Feversong: a Fever novel,Karen Marie Moning,First published in 2017
Star Ka'at,Andre Norton,First published in 1976
Soccer on Sunday,Mary Pope Osborne,First published in 1777
Archivist wasp: a novel,Nicole Kornher-Stace,First published in 2015
Demon witch,Geoffrey Huntington,First published in 1975
About Time: 12 Short Stories,Jack Finney,First published in 1986
Book of nightmares,John Peel,First published in 1998
Amberlough,Lara Elena Donnelly,First published in 2017
Mermaid in Chelsea Creek,Michelle Tea,First published in 2013
Once upon a Time - Regina Rising,Wendy Toliver,First published in 2017
The Amaranth Enchantment,Julie Berry,First published in 2009
"One Piece, Vol. 16: Carrying On His Will",Eiichiro Oda,First published in 2000
Bad Day at Riverbend,Chris Van Allsburg,First published in 1995
Casting Spells: Sugar Maple Chronicles - 1,Barbara Bretton,First published in 2008
Too many magicians.,Randall Garrett,First published in 1967
The waters rising,Sheri S. Tepper,First published in 2010
Steel Magic: The Magic Books #1 (The Magic Books),Andre Norton,First published in 1965
Ark,Stephen Baxter,First published in 2009
The swing in the summerhouse,Jane Langton,First published in 1967
Legion: Skin Deep,Brandon Sanderson,First published in 2014
Ruthless Gods,Emily A. Duncan,First published in 2020
Widdershins,Charles de Lint,First published in 2006
Everworld: Mystify the Magician,Katherine Applegate,First published in 2001
Elf Queen of Shannara (Heritage of Shannara),Terry Brooks,First published in 1999
The Bird King: A Novel,G. Willow Wilson,First published in 2019
"Saturday, the twelfth of October",Norma Fox Mazer,First published in 1975
Last Dragon Standing,G. A. Aiken,First published in 2010
Cinderella: an evening to remember,Grace Windsor,First published in 2003
Perilous Seas,Dave Duncan,First published in 1991
The Dark Lord (Forbidden Tarot),Patricia Simpson,First published in 2004
The Mammoth Book of Fantastic Science Fiction: Short Novels of the 1970s,Isaac Asimov,First published in 1992
The certain hour: (Dizain des poëtes),James Branch Cabell,First published in 1916
El Valle De Los Lobos/ the Valley of Wolves (Cronicas De La Torre),Laura Gallego,First published in 2000
"Ocarina of time.1: The Legend of Zelda: Ocarina of Time, Part 1",Akira Himekawa,First published in 2000
The Maxx: Maxximized Volume 6,Sam Kieth,First published in 1995
The lost kingdom of Bamarre,Gail Carson Levine,First published in 2017
Bedlam's Bard,Mercedes Lackey,First published in 1992
Tomorrow's children: 18 tales of fantasy and science fiction,Isaac Asimov,First published in 1966
"Reunited: The Reawakened Series, Book 3",Colleen Houck,First published in 2017
Bran Mak Morn,Robert E. Howard,First published in 1969
Dragon keeper,Robin Hobb,First published in 2010
The Shadow of What Was Lost,James Islington,First published in 2016
Legion and the Emperor's Soul,Brandon Sanderson,First published in 2013
Belles,Dhonielle Clayton,First published in 2018
Shame of Man,Piers Anthony,First published in 1994
A man rides through,Stephen R. Donaldson,First published in 1987
Patrick,Quentin Blake,First published in 1968
Dream of Wessex (Valancourt 20th Century Classics),Christopher Priest,First published in 1977
Instead of three wishes,Megan Whalen Turner,First published in 1995
The fledgling,Jane Langton,First published in 1980
Hawkes Harbor,S. E. Hinton,First published in 2004
The rogue,Trudi Canavan,First published in 2011
Lord Prestimion: a novel in the Majipoor cycle,Robert Silverberg,First published in 1999
A Dragon-lover's treasury of the fantastic,Margaret Weis,First published in 1994
Elske,Cynthia Voigt,First published in 1999
Monster Hunter Nemesis (5),Larry Correia,First published in 2014
Robot Adept,Piers Anthony,First published in 1988
Conan the usurper,L. Sprague De Camp,First published in 1967
Sapphique,Catherine Fisher,First published in 2011
Silverlock,John Myers Myers,First published in 1949
Lilliput,Sam Gayton,First published in 2013
Bite Me: A Love Story,Christopher Moore,First published in 2010
The dreadful tale of Prosper Redding,Alexandra Bracken,First published in 2017
The masked city: an invisible library novel,Genevieve Cogman,First published in 2016
The Cockatrice Boys,Joan Aiken,First published in 1996
"To Green Angel Tower, Part 2 (Memory, Sorrow, and Thorn, Book 3)",Tad Williams,First published in 1994
Perfect Shadow: A Night Angel Novella,Brent Weeks,First published in 2011
Grimoire of Grimoires,Joseph Carriker,First published in 2008
The Steel Remains,Richard K. Morgan,First published in 2009
The grey lady and the strawberry snatcher,Molly Bang,First published in 1980
Meant to Be Immortal,Lynsay Sands,First published in 2021
"High Stakes (Vegas Vampires, Book 1)",Erin McCarthy,First published in 2006
The golden door,Emily Rodda,First published in 2011
Enemy Lover,Bonnie Vanak,First published in 2008
Lord demon,Roger Zelazny,First published in 1999
Survival: Starfleet Academy #3: Star Trek: The Next Generation,Peter David,First published in 1993
Wrath of the Bloodeye,Joseph Delaney,First published in 2008
M.Y.T.H. Inc. Link,Robert Asprin,First published in 1986
Ranma 1/2 (Ranma 1/2 (Sagebrush)),Rumiko Takahashi,First published in 1993
Teen Titans: How To Draw (Teen Titans),Ann Marie Harris,First published in 2006
Raven's strike,Patricia Briggs,First published in 2005
Welsh Fairy Tales,William Elliot Griffis,First published in 1921
Bear: Book Four of the Saga of the First King,R. A. Salvatore,First published in 2010
L'Arbre aux souhaits,William Faulkner,First published in 1964
Enchanted palace,Rosie Banks,First published in 2011
Sword Quest (Fantasy Adventure Series),Andy Dixon,First published in 1998
The road to Middle-Earth,Tom Shippey,First published in 1982
Tales Of Deltora,Emily Rodda,First published in 2005
Worldshaker,Richard Harland,First published in 2009
The night of the solstice,Lisa Jane Smith,First published in 1987
Game of Stars,Sayantani Dasgupta,First published in 2019
Magic Moon,Wolfgang Hohlbein,First published in 1983
Rogue of Gor,John Norman,First published in 1981
Now you see me-- now you don't,Dan Greenburg,First published in 1997
Shadowsinger: a spellsong cycle novel,"L. E. Modesitt, Jr.",First published in 2002
"Girl's Guide To Witchcraft: Magical Washington, Washington Witches - 1",Mindy Klasky,First published in 2006
Rosemarked,Livia Blackburne,First published in 2017
Catfantastic III,Andre Norton,First published in 1994
Witchling,Yasmine Galenorn,First published in 2006
Highfire,Eoin Colfer,First published in 2020
The Rivan Codex: ancient texts of the Belgariad and the Malloreon,David Eddings,First published in 1998
The golden yarn,Cornelia Funke,First published in 2015
The Lost Continent,Tui T. Sutherland,First published in 2018
A heart so fierce and broken,Brigid Kemmerer,First published in 2020
The Apothecary: The Apothecary #1,Maile Meloy,First published in 2011
Wolf,Gillian Cross,First published in 1990
Power of the fire dragon,Tracey West,First published in 2015
Eye of Zoltar: Last Dragonslayer Book 3,Jasper Fforde,First published in 2014
The  Deryni archives,Katherine Kurtz,First published in 1986
How to write horror fiction,William F. Nolan,First published in 1990
The Immortal Rules,Julie Kagawa,First published in 2012
Fate's Edge,Ilona Andrews,First published in 2011
"Keeper of the Keys (Cycle of Fire, Book II)",Janny Wurts,First published in 1988
The Real Boy,Anne Ursu,First published in 2013
Darkest before dawn,Maya Banks,First published in 2015
Shadow ops: Breach zone,Myke Cole,First published in 2012
Third Watch,Anne McCaffrey,First published in 2007
Petal parade,"Banks, Rosie (Children's fiction writer)",First published in 2015
The pigeon: a fantasy in three acts.,John Galsworthy,First published in 1912
Limbo,Bernard Wolfe,First published in 1952
Elvenblood (Halfblood Chronicles),Mercedes Lackey,First published in 1995
The little country,Charles de Lint,First published in 1991
The castle behind thorns,Merrie Haskell,First published in 2014
Pan's Garden: a volume of nature stories,Algernon Blackwood,First published in 1912
The Runelords: the sum of all men,David Farland,First published in 1998
The Price of Valour,Django Wexler,First published in 2020
Prime evil,Douglas. Winter,First published in 1988
The Stone Child,Dan Poblocki,First published in 2009
Rip Van Winkle and other stories.,Washington Irving,First published in 1922
The Revenants,Sheri S. Tepper,First published in 1984
Wild Sign,Patricia Briggs,First published in 2021
Fire Study,Maria V. Snyder,First published in 2009
Dreams of Fire and Gods: Gods,James Erich,First published in 2012
One piece: The 100 million berry man,Eiichiro Oda,First published in 2002
Animorphs: The Hidden,Katherine Applegate,First published in 2000
Blue Moon,Alyson Noël,First published in 2009
The Talisman: Volume I: The Road of Trials,Robin Furth,First published in 2010
Serena the salsa fairy,Daisy Meadows,First published in 2007
Song of the Poison Dragon,Tracey West,First published in 2016
Innocents aboard: new fantasy stories,Gene Wolfe,First published in 2004
Meditations on Middle Earth,Karen Haber,First published in 2001
Island of Shipwrecks: The Unwanteds #5,Lisa McMann,First published in 2015
Orange: the complete collection,Ichigo Takano,First published in 2014
Finale,Becca Fitzpatrick,First published in 2012
The Lie Tree,Frances Hardinge,First published in 2016
Genies don't ride bicycles,Debbie Dadey,First published in 1993
The Dark Knight,Dennis O'Neil,First published in 2008
The Mahabharata: a shortened modern prose version of the Indian epic,Rasipuram Krishnaswamy Narayan,First published in 1978
FLIGHT FROM THE DARK (LONE WOLF ADVENTURES S.),Joe Dever,First published in 1984
The chestnut soldier.,Jenny Nimmo,First published in 1989
American Demon,Kim Harrison,First published in 2020
Book of magic,John Peel,First published in 1997
Wolf wing,Tanith Lee,First published in 2002
Winter warriors,David A. Gemmell,First published in 1997
Avatar Volume 8 (Avatar (Graphic Novels)),Michael Dante DiMartino,First published in 2006
The Fallible Fiend,L. Sprague De Camp,First published in 1973
My diary from the edge of the world,Jodi Lynn Anderson,First published in 2015
The green book,Jill Paton Walsh,First published in 1981
Layla the cotton candy fairy,Daisy Meadows,First published in 2013
The Guardian Herd: Starfire,Jennifer Lynn Alvarez,First published in 2014
Phroso: a romance,Anthony Hope,First published in 1897
Mated to My Bully,Sutton Stratford,First published in 2022
"Darkness That Comes Before: The Prince of Nothing, Book One",R. Scott Bakker,First published in 2005
The Empire,Chris Wraight,First published in 2014
